Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
14.9498,162.51,2.40577e+18,90.7148,94.0981,99.5092,111.737,121.232,135.7,149.404,155.241,124.983,57.9816,299.699
14.3525,161.911,2.34613e+18,92.4499,99.1078,107.06,123.797,135.488,144.624,139.137,120.758,93.7666,53.9557,299.737
14.5642,161.946,2.34938e+18,91.6677,97.1967,104.336,119.456,130.325,141.545,142.653,129.871,100.326,54.906,299.379
14.7757,161.982,2.384e+18,93.4517,101.074,110.405,127.89,139.756,148.227,140.821,119.784,92.3582,53.1635,299.241
14.9875,162.019,2.3801e+18,93.1324,99.2396,107.133,122.039,132.593,143.388,143.784,129.723,100.279,54.7252,299.727
14.4456,161.008,2.37988e+18,89.2093,92.2882,97.4422,109.468,119.503,134.427,149.874,156.406,122.337,58.7573,299.323
15.0555,161.108,2.47404e+18,95.9979,109.227,125.122,150.368,164.76,161.47,132.53,99.4588,77.6319,49.7463,298.432
14.4854,160.58,2.3019e+18,91.6796,99.8532,109.748,126.408,137.508,142.955,131.937,109.991,85.9662,52.3128,297.967
14.686,160.612,2.5026e+18,84.4781,82.0846,83.4292,90.3992,96.6043,109.341,136.698,210.345,232.258,69.2484,298.619
14.8865,160.644,2.47509e+18,94.8678,104.567,116.296,136.125,150.973,159.057,146.317,118.923,89.406,52.4202,299.489
15.0873,160.677,2.45901e+18,90.6466,94.8281,101.336,114.233,125.364,141.407,157.373,160.611,121.887,57.7677,298.441
14.5204,160.161,2.52622e+18,86.6526,87.0314,90.3534,99.5912,108.09,123.936,154.784,206.462,180.576,66.4407,300.152
14.918,160.224,2.43069e+18,94.6207,105.312,118.081,137.864,151.068,154.703,137.934,110.735,85.5566,51.8859,298.887
14.545,159.818,2.50173e+18,87.4982,88.6394,92.576,102.325,111.476,128.055,157.046,195.445,163.298,64.8119,300.5
14.9412,159.879,2.37591e+18,89.5214,92.5961,98.1488,109.114,118.606,132.885,149.647,157.282,121.149,57.8214,298.628
15.1395,159.91,2.39816e+18,86.9892,86.501,89.4326,97.3246,103.977,117.063,143.092,185.688,167.159,65.3378,299.089
14.5776,159.405,2.55332e+18,98.1545,114.761,135.433,162.646,176.816,166.068,129.085,95.0651,75.6973,50.1176,300.143
